ID,Name,Description,Type,State,Capacity name,Capacity SKU Tier,Upgrade status
107C8A98-3DB1-433B-9E74-57BD2C99D489,PersonalWorkspace MYVIZHI PRAVEEN KUMAR,"",PersonalGroup,Active,"","",,
EBE4334B-7C78-4D79-822C-351CD3A213C2,Sales insights 360,"",Workspace,Active,"","",,
